accuracy,attempted,bleu,correct,coverage,file,skipped,total
0.0,4,5.19,0,57.14,00ef1258e0aca9700298ad1fd2102d08c822be535775b07009cdb236a1e256b4_answer.json,0,7
85.71,7,94.15,6,100.0,3ffcecc4d8cdecaf42fc0bd4b847543103bdb651f4f8e3374121cf7ad7e6d61b_answer.json,0,7
12.5,8,17.68,1,100.0,43114f85daf1648b417f9fbb6b6eb7b30a4188d2df7dbbc81423e966f602dfc7_answer.json,0,8
0.0,15,1.97,0,100.0,796197ea32f0be576def7da35885e34f2355d8c292a2092909a2b6b2a0e1f791_answer.json,0,15
10.0,10,19.21,1,100.0,7ee299cd1ed6a85bb2bfb20227d4435883e951fd395cdb6e348c1f39da90eb22_answer.json,0,10
0.0,10,18.53,0,100.0,a77783c1f82d55853b0be65f7402fa9995668d77ca996707de4a9b2b249acd78_answer.json,0,10
0.0,3,10.99,0,50.0,b1886646ac3f6e86da88a9b743a52e960849f488b9e04c65d7371394d631da61_answer.json,0,6
0.0,11,14.13,0,100.0,c12893345af3b893e10c7636d5ce45021a0b7afec42e7974b0b659d7642d4949_answer.json,0,11
42.86,7,67.59,3,100.0,c89b677f974124e2456cf62c2833a192925c80b54df0530c8a9a3f890d1e968b_answer.json,0,7
37.5,8,63.32,3,100.0,da1ab3a436df76b43d6166ae1c2786e2caf5bfceafde5d5e16b741d645928f5f_answer.json,0,8
